ID,CaseNumber,Date,Block,IUCR,PrimaryType,Description,Location Description,Arrest,Domestic,Beat,District,Ward,CommunityArea,FBICode,X Coordinate,Y Coordinate,Year,UpdatedOn,Latitude,Longitude,Location
10801123,JA100014,01/01/2017 12:18:00 AM,069XX S WASHTENAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,831,8.0,18.0,66.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801125,JA100062,01/01/2017 01:20:00 AM,068XX S OAKLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,832,8.0,17.0,66.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801127,JA100050,01/01/2017 01:00:00 AM,022XX S HOYNE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,True,True,1034,10.0,25.0,31.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801128,JA100026,01/01/2017 12:24:00 AM,042XX W 82ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,834,8.0,13.0,70.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801130,JA100084,01/01/2017 01:40:00 AM,034XX S DR MARTIN LUTHER KING JR DR,0860,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,False,False,211,2.0,4.0,35.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801133,JA100028,01/01/2017 12:13:00 AM,038XX W ALTGELD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2524,25.0,35.0,22.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801135,JA100067,01/01/2017 12:50:00 AM,105XX S PERRY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,512,5.0,34.0,49.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801136,JA100042,01/01/2017 12:36:00 AM,042XX W CRYSTAL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2534,25.0,37.0,23.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801141,JA100083,01/01/2017 12:00:00 AM,011XX W DICKENS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1811,18.0,43.0,7.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801144,JA100051,01/01/2017 12:50:00 AM,043XX W BELDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),False,False,2522,25.0,31.0,20.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801145,JA100098,01/01/2017 01:30:00 AM,050XX W ARMITAGE AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,2522,25.0,31.0,19.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801146,JA100111,01/01/2017 02:00:00 AM,022XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1431,14.0,1.0,22.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801149,JA100089,01/01/2017 01:10:00 AM,075XX S DAMEN AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,True,False,611,6.0,18.0,67.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801151,JA100090,01/01/2017 01:37:00 AM,062XX S RACINE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,713,7.0,16.0,67.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801152,JA100048,01/01/2017 12:57:00 AM,056XX S ABERDEEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,712,7.0,16.0,68.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801154,JA100080,01/01/2017 12:41:00 AM,039XX N SOUTHPORT AVE,0460,BATTERY,SIMPLE,STREET,False,False,1922,19.0,47.0,6.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801155,JA100076,01/01/2017 12:35:00 AM,010XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,BAR OR TAVERN,True,False,123,1.0,2.0,32.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801159,JA100113,01/01/2017 01:00:00 AM,024XX N CLARK ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1935,19.0,43.0,7.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801160,JA100074,01/01/2017 01:10:00 AM,034XX N HALSTED ST,0460,BATTERY,SIMPLE,SIDEWALK,True,False,1924,19.0,44.0,6.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801167,JA100100,01/01/2017 01:49:00 AM,072XX S SACRAMENTO AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,True,False,831,8.0,18.0,66.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801168,JA100053,01/01/2017 12:41:00 AM,016XX S SPRINGFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,False,False,1014,10.0,24.0,29.0,15,,,2017,01/08/2017 03:48:20 PM,,,
10801169,JA100123,01/01/2017 12:05:00 AM,011XX N MILWAUKEE AVE,0810,THEFT,OVER $500,STREET,False,False,1213,12.0,1.0,24.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801170,JA100124,01/01/2017 12:05:00 AM,011XX N MILWAUKEE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,1213,12.0,1.0,24.0,11,,,2017,01/08/2017 03:48:20 PM,,,
10801173,JA100109,01/01/2017 01:54:00 AM,033XX N NOTTINGHAM AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,False,False,1632,16.0,36.0,17.0,15,,,2017,01/08/2017 03:48:20 PM,,,
10801175,JA100056,01/01/2017 12:10:00 AM,004XX N PARK DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,False,True,1834,18.0,42.0,8.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801179,JA100170,01/01/2017 01:00:00 AM,010XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1213,12.0,27.0,24.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801180,JA100172,01/01/2017 02:00:00 AM,017XX W 100TH ST,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,2213,22.0,19.0,72.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801181,JA100130,01/01/2017 02:25:00 AM,009XX N ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,1121,11.0,27.0,23.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801182,JA100136,01/01/2017 02:44:00 AM,003XX E 63RD ST,0460,BATTERY,SIMPLE,CTA BUS,False,False,312,3.0,20.0,69.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801184,JA100011,01/01/2017 12:10:00 AM,0000X S SEELEY AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,1223,12.0,2.0,28.0,03,,,2017,01/08/2017 03:48:20 PM,,,
10801185,JA100088,01/01/2017 12:42:00 AM,001XX N GREEN ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,True,False,1224,12.0,27.0,28.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801188,JA100099,01/01/2017 12:45:00 AM,022XX W WINNEMAC AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,2031,20.0,47.0,4.0,08A,,,2017,01/08/2017 03:48:20 PM,,,
10801190,JA100096,01/01/2017 01:25:00 AM,107XX S AVENUE J,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,True,True,432,4.0,10.0,52.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801192,JA100052,01/01/2017 01:00:00 AM,090XX S BLACKSTONE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,413,4.0,8.0,48.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801194,JA100102,01/01/2017 01:17:00 AM,082XX S LAFLIN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,True,False,614,6.0,21.0,71.0,15,,,2017,01/08/2017 03:48:20 PM,,,
10801195,JA100032,01/01/2017 12:10:00 AM,018XX W 85TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,614,6.0,18.0,71.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801196,JA100108,01/01/2017 12:40:00 AM,013XX E 75TH ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,True,True,411,4.0,5.0,43.0,20,,,2017,01/08/2017 03:48:20 PM,,,
10801197,JA100064,01/01/2017 01:04:00 AM,055XX W DRUMMOND PL,041A,BATTERY,AGGRAVATED: HANDGUN,ALLEY,False,False,2514,25.0,30.0,19.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801198,JA100104,01/01/2017 01:44:00 AM,053XX S ASHLAND AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,True,False,932,9.0,16.0,61.0,15,,,2017,01/08/2017 03:48:20 PM,,,
10801202,JA100135,01/01/2017 02:40:00 AM,035XX N CLARK ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1924,19.0,44.0,6.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801203,JA100105,01/01/2017 01:30:00 AM,063XX W GUNNISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1622,16.0,38.0,15.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801204,JA100171,01/01/2017 03:20:00 AM,036XX N HALSTED ST,0460,BATTERY,SIMPLE,OTHER,False,False,1925,19.0,46.0,6.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801207,JA100144,01/01/2017 02:20:00 AM,006XX N OAKLEY BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,1221,12.0,26.0,24.0,03,,,2017,01/08/2017 03:48:20 PM,,,
10801208,JA100094,01/01/2017 12:48:00 AM,033XX W OGDEN AVE,3750,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,POLICE FACILITY/VEH PARKING LOT,False,False,1024,10.0,24.0,29.0,24,,,2017,01/08/2017 03:48:20 PM,,,
10801209,JA100034,01/01/2017 12:38:00 AM,050XX S PRAIRIE AVE,5011,OTHER OFFENSE,LICENSE VIOLATION,BAR OR TAVERN,False,False,224,2.0,3.0,38.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801210,JA100163,01/01/2017 02:36:00 AM,040XX W ROOSEVELT RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,1132,11.0,24.0,29.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801211,JA100184,01/01/2017 03:23:00 AM,010XX N MONTICELLO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1112,11.0,27.0,23.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801212,JA100137,01/01/2017 02:30:00 AM,005XX N PINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,False,True,1523,15.0,37.0,25.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801213,JA100092,01/01/2017 01:00:00 AM,023XX S CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1034,10.0,12.0,30.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801214,JA100114,01/01/2017 01:45:00 AM,042XX N DAMEN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,True,False,1911,19.0,47.0,5.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801217,JA100106,01/01/2017 01:41:00 AM,023XX W JACKSON BLVD,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,1225,12.0,2.0,28.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801218,JA100152,01/01/2017 02:35:00 AM,067XX N NORTHWEST HWY,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,True,False,1612,16.0,41.0,9.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801219,JA100188,01/01/2017 03:28:00 AM,036XX W 61ST ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,823,8.0,13.0,65.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801220,JA100020,01/01/2017 12:20:00 AM,052XX W 64TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,813,8.0,13.0,64.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801222,JA100138,01/01/2017 01:10:00 AM,040XX W LEXINGTON ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,False,True,1132,11.0,24.0,26.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801223,JA100112,01/01/2017 01:30:00 AM,044XX S PRINCETON AVE,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,True,True,925,9.0,3.0,37.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801224,JA100217,01/01/2017 01:30:00 AM,004XX N WELLS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1831,18.0,42.0,8.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801225,JA100227,01/01/2017 02:30:00 AM,004XX N WELLS ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1831,18.0,42.0,8.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801226,JA100214,01/01/2017 02:30:00 AM,0000X W ELM ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1824,18.0,42.0,8.0,06,,,2017,01/08/2017 03:48:20 PM,,,
10801228,JA100203,01/01/2017 04:00:00 AM,037XX W WILSON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,1723,17.0,39.0,14.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801229,JA100134,01/01/2017 02:16:00 AM,095XX S HAMILTON AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,2213,22.0,19.0,72.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801230,JA100204,01/01/2017 03:45:00 AM,047XX N WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1713,17.0,33.0,14.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801231,JA100025,01/01/2017 12:30:00 AM,034XX W LELAND AVE,0460,BATTERY,SIMPLE,TAXICAB,False,False,1723,17.0,33.0,14.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801232,JA100162,01/01/2017 02:20:00 AM,002XX W 71ST ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,731,7.0,6.0,69.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801233,JA100139,01/01/2017 02:46:00 AM,057XX S WOOD ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,715,7.0,15.0,67.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801235,JA100185,01/01/2017 03:00:00 AM,003XX N LAFLIN ST,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,1215,12.0,27.0,28.0,03,,,2017,01/08/2017 03:48:20 PM,,,
10801236,JA100205,01/01/2017 03:00:00 AM,048XX N TALMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2031,20.0,40.0,4.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801237,JA100183,01/01/2017 03:30:00 AM,003XX E 56TH ST,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE,False,True,231,2.0,20.0,40.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801239,JA100166,01/01/2017 02:17:00 AM,007XX N FRANKLIN ST,0460,BATTERY,SIMPLE,STREET,True,False,1831,18.0,42.0,8.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801240,JA100128,01/01/2017 02:28:00 AM,003XX E OHIO ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL/MOTEL,True,False,1834,18.0,42.0,8.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801241,JA100179,01/01/2017 02:33:00 AM,007XX N MICHIGAN AVE,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,SIDEWALK,True,False,1834,18.0,42.0,8.0,15,,,2017,01/08/2017 03:48:20 PM,,,
10801242,JA100221,01/01/2017 04:10:00 AM,072XX S WOOD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,735,7.0,17.0,67.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801243,JA100157,01/01/2017 03:01:00 AM,065XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,312,3.0,20.0,69.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801244,JA100154,01/01/2017 02:59:00 AM,087XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,2222,22.0,21.0,71.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801245,JA100143,01/01/2017 02:42:00 AM,073XX S STONY ISLAND AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESTAURANT,False,False,324,3.0,5.0,43.0,05,,,2017,01/08/2017 03:48:20 PM,,,
10801246,JA100229,01/01/2017 04:21:00 AM,023XX E 100TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,431,4.0,7.0,51.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801247,JA100159,01/01/2017 02:59:00 AM,048XX N KEDZIE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,False,False,1713,17.0,33.0,14.0,05,,,2017,01/08/2017 03:48:20 PM,,,
10801248,JA100189,01/01/2017 02:39:00 AM,061XX S CALIFORNIA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,823,8.0,15.0,66.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801250,JA100176,01/01/2017 02:45:00 AM,051XX W PENSACOLA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1624,16.0,45.0,15.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801252,JA100121,01/01/2017 02:02:00 AM,044XX S INDIANA AVE,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE,False,False,215,2.0,3.0,38.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801253,JA100222,01/01/2017 03:49:00 AM,011XX N CHRISTIANA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1121,11.0,26.0,23.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801254,JA100149,01/01/2017 02:43:00 AM,004XX W 126TH PL,0330,ROBBERY,AGGRAVATED,SIDEWALK,False,False,523,5.0,9.0,53.0,03,,,2017,01/08/2017 03:48:20 PM,,,
10801256,JA100220,01/01/2017 04:12:00 AM,084XX S THROOP ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,613,6.0,21.0,71.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801257,JA100231,01/01/2017 04:45:00 AM,005XX E 87TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,632,6.0,6.0,44.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801258,JA100073,01/01/2017 01:06:00 AM,034XX W 107TH ST,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,True,False,2211,22.0,19.0,74.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801259,JA100131,01/01/2017 02:38:00 AM,003XX W 108TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,513,5.0,34.0,49.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801262,JA100233,01/01/2017 04:40:00 AM,025XX W DEVON AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,False,False,2413,24.0,50.0,2.0,03,,,2017,01/08/2017 03:48:20 PM,,,
10801263,JA100153,01/01/2017 02:34:00 AM,092XX S PARNELL AVE,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,False,False,2223,22.0,21.0,73.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801264,JA100196,01/01/2017 03:50:00 AM,063XX N ROCKWELL ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,2413,24.0,50.0,2.0,03,,,2017,01/08/2017 03:48:20 PM,,,
10801268,JA100161,01/01/2017 02:43:00 AM,029XX E 80TH PL,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,True,True,422,4.0,7.0,46.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801270,JA100208,01/01/2017 03:45:00 AM,002XX W 63RD ST,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,311,3.0,20.0,68.0,04B,,,2017,01/08/2017 03:48:20 PM,,,
10801271,JA100223,01/01/2017 04:10:00 AM,0000X W ILLINOIS ST,0460,BATTERY,SIMPLE,STREET,False,False,1831,18.0,42.0,8.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801272,JA100254,01/01/2017 03:30:00 AM,0000X E ILLINOIS ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1834,18.0,42.0,8.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801273,JA100169,01/01/2017 02:45:00 AM,037XX N PINE GROVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1925,19.0,46.0,6.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801276,JA100207,01/01/2017 03:20:00 AM,079XX S LAFAYETTE AVE,2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,PARKING LOT/GARAGE(NON.RESID.),True,False,623,6.0,17.0,44.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801277,JA100255,01/01/2017 04:59:00 AM,0000X W ILLINOIS ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1831,18.0,42.0,8.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801278,JA100165,01/01/2017 02:39:00 AM,054XX S KEDZIE AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,True,True,822,8.0,14.0,63.0,04A,,,2017,01/08/2017 03:48:20 PM,,,
10801279,JA100246,01/01/2017 04:45:00 AM,061XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,313,3.0,20.0,42.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801280,JA100237,01/01/2017 04:35:00 AM,080XX S CARPENTER ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,612,6.0,21.0,71.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801281,JA100018,01/01/2017 12:01:00 AM,064XX S STONY ISLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,314,3.0,5.0,42.0,14,,,2017,01/08/2017 03:48:20 PM,,,
10801282,JA100192,01/01/2017 03:46:00 AM,064XX S KENWOOD AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,314,3.0,20.0,42.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801283,JA100269,01/01/2017 04:30:00 AM,007XX E 47TH ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,223,2.0,4.0,38.0,26,,,2017,01/08/2017 03:48:20 PM,,,
10801284,JA100225,01/01/2017 04:00:00 AM,072XX S RIDGELAND AVE,0460,BATTERY,SIMPLE,RESIDENCE,False,False,324,3.0,8.0,43.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801286,JA100243,01/01/2017 04:00:00 AM,038XX W ARMITAGE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,DRIVEWAY - RESIDENTIAL,False,True,2525,25.0,26.0,22.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801288,JA100072,01/01/2017 01:10:00 AM,035XX W ARMITAGE AVE,0460,BATTERY,SIMPLE,STREET,False,False,1422,14.0,26.0,22.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
10801289,JA100164,01/01/2017 01:19:00 AM,019XX W DIVISION ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1424,14.0,1.0,24.0,08B,,,2017,01/08/2017 03:48:20 PM,,,
